nom;disp_j;disp_h;lat_coor1;long_coor1;adr_num;adr_voie;disp_complt;date_instal;modele;dermnt;expt_siren;objectid;id;identifiant;gestionnaire;activite;quartier;type;echeance_pile;echeance_adulte;echeance_pediatrique
DAE-Gymnase Denfert Rochereau;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.84478759765625;2.2455132007598877;42;rue Denfert-Rochereau;;2017-01-01;Power heart G5;2020-07-10;219200128;13;13;D00000053510;Ville de Boulogne-Billancourt;Complexe sportif;6;Etablissement Public;2021-06-23;2022-04-28;
DAE-Maternelle Abondances;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.84437561035156;2.2298340797424316;48;rue des Abondances;;2019-01-01;Zoll;2020-07-10;219200128;2561;55;X19A104114;Ville de Boulogne-Billancourt;Ecole maternelle;1;Etablissement Public;2023-01-01;2024-04-12;2021-02-02
DAE-Musée Paul Belmondo;mardi|mercredi|jeudi|vendredi|samedi|dimanche;heures ouvrables;48.8475456237793;2.2310426235198975;14;rue de l' Abreuvoir;;2017-01-01;CR PLUS;2020-07-10;219200128;27;27;40377039;Ville de Boulogne-Billancourt;Culture;1;Etablissement Public;2021-06-15;2021-06-15;2021-02-09
DAE-Centre Médico-Sportif;lundi|mardi|mercredi|jeudi|vendredi|samedi;heures ouvrables;48.8308181;2.2437704;11;rue de Clamart;batterie elec changée le 13/09/2017;2010-01-01;Welch allyn;2020-07-10;219200128;5;5;NA050454;Ville de Boulogne-Billancourt;Salle de sport;4;Etablissement Public;;2019-04-01;
DAE-Elémentaire Saint Denis;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.844970703125;2.231877088546753;31;rue Saint-Denis;;2019-01-01;Zoll;2020-07-10;219200128;2562;57;X19A104230;Ville de Boulogne-Billancourt;Ecole élémentaire;1;Etablissement Public;2023-01-01;2024-04-12;2021-02-02
DAE-Maternelle Dôme;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.8314444;2.2468666;12;rue du Dôme;;2019-01-01;Zoll;2020-07-10;219200128;2568;54;X19A104068;Ville de Boulogne-Billancourt;Ecole maternelle;4;Etablissement Public;2023-01-01;2024-04-12;2021-02-02
DAE-Primaire Belle Feuille;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.8376944;2.2432561;26;rue de la Belle Feuille;;2019-01-01;Zoll;2020-07-10;219200128;2566;62;X19A107019;Ville de Boulogne-Billancourt;Ecole Elémentaire;5;Etablissement Public;2023-01-01;2024-04-12;2021-02-02
DAE-Maternelle Silly;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.8394127;2.2320812;27;rue de Silly;;2019-01-01;Zoll;2020-07-10;219200128;2564;61;X19A106972;Ville de Boulogne-Billancourt;Ecole maternelle;2;Etablissement Public;2023-01-01;2024-04-12;2021-02-02
DAE-Maternelle Lazare Hoche;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.8408965;2.2458737;1bis;rue Lazard Hoche;;2019-01-01;Zoll;2020-07-10;219200128;2565;53;X19A104028;Ville de Boulogne-Billancourt;Ecole maternelle;6;Etablissement Public;2023-01-01;2024-04-12;2021-02-02
DAE-Gymnase de la Biodiversité;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.8268019;2.2400069;44;rue Marcel-Bontemps;;;Defibtech;2020-07-10;219200128;3;3;116008113;Ville de Boulogne-Billancourt;Salle de sport;4;Etablissement Public;2021-01-01;2021-03-31;2021-04-30
